Year,Month,Polling,Con,Lab,LD,Lab good,Govt good,Govt bad,Lab bad,Con good,Con bad,SDP,Green,Lab net,LD good,Con Best PM,Lab Best PM,LD Best PM,LD bad,Con net,M,F,M.1,F.1,M.2,F.2,UKIP good,UKIP bad,Grn good,Grn bad,UKIP Best PM,UKIP,TIG/CUK,BXP,LD net,CUK good,CUK bad,BXP good,BXP bad,BXP Best PM,BXP/Reform,Ukip,BXP/Ref good,BXP/Ref bad,Green Best PM,BXP/Ref Best PM
,Nov,Gallup,22.0,59.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,ICM,31.0,50.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,MORI,30.0,51.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,NOP,31.0,50.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,Gallup,28.5,52.5,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,G9000,30.5,51.0,12.7,56.5,19.3,67.8,26.7,29.7,62.3,,,29.8,54.6,23.7,36.0,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997.0,Jan,ICM,31.0,48.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,Gallup,32.5,50.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,NOP,32.0,49.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,MORI,30.0,55.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,Gallup,34.0,49.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,ICM,32.0,48.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,G9000,33.0,50.5,11.3,61.7,24.0,65.2,26.4,34.1,60.0,,,35.300000000000004,60.8,28.2,38.6,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,NOP,31.0,49.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,NOP,30.0,50.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,MORI,31.0,52.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,ICM,30.0,48.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,Gallup,28.0,54.0,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,Harris,32.0,53.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,G9000,32.8,50.9,10.8,64.1,25.5,63.3,24.5,34.9,59.0,,,39.599999999999994,62.3,28.1,38.9,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,Harris,27.0,52.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,NOP,27.0,52.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,NOP,29.0,54.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,Harris,29.0,56.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,Gallup,28.5,56.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,Gallup,29.0,54.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,Harris,30.0,54.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,MORI,29.0,50.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,Gallup,31.0,52.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,Harris,28.0,52.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,ICM,32.0,46.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,G9000,29.8,53.7,10.8,68.3,25.5,64.0,20.5,33.3,60.7,,,47.8,64.0,24.6,41.2,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,MORI,28.0,55.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,30.0,54.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,MORI,30.0,55.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,ICM,33.0,48.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,NOP,28.0,52.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,NOP,30.0,51.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,32.0,53.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Harris,30.0,52.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,33.0,53.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,ICM,34.0,46.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,32.0,51.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,MORI,34.0,49.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,30.0,53.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,30.0,52.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,32.0,52.0,11.0,,27.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,ICM,32.0,48.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,NOP,28.0,48.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,33.0,49.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,32.0,49.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,MORI,29.0,50.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Harris,31.0,49.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,31.0,49.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,ICM,31.0,45.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,30.0,51.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,MORI,32.0,49.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,31.0,50.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,31.0,50.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,32.0,50.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,ICM,32.0,47.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,NOP,31.0,45.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,31.0,50.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Harris,30.0,48.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,32.0,48.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,32.0,48.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,31.0,50.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,ICM,37.0,42.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,30.0,51.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,30.0,50.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,MORI,27.0,48.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,32.0,48.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,MORI,29.0,53.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,32.0,48.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,ICM,32.0,47.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,31.0,49.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,NOP,29.0,47.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,31.0,48.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,30.0,49.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,29.0,51.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,31.0,51.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Harris,31.0,48.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,MORI,28.0,48.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,NOP,28.0,50.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,ICM,33.0,43.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,33.0,46.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,MORI,29.0,46.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,G9000,31.0,50.0,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MORI,30.0,46.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NOP,29.0,47.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997.0,May,G9000,23.3,56.9,14.7,,76.0,13.1,,,,,,,,26.6,36.7,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,Gallup,23.0,59.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,ICM,23.0,62.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,ICM,23.0,61.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,MORI,24.0,58.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,G9000,24.2,60.4,11.5,,71.7,13.3,,,,,,,,10.1,62.2,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Gallup,23.0,61.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,MORI,23.0,57.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Gallup,25.0,58.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,G9000,25.3,58.5,12.0,,67.6,21.8,,,,,,,,10.5,60.7,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,ICM,29.0,55.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,MORI,28.0,54.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Gallup,26.0,58.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,G9000,26.8,57.6,11.4,,63.4,27.0,,,,,,,,11.4,58.7,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,ICM,24.0,60.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,Gallup,22.0,60.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,MORI,25.0,59.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,G9000,23.1,62.0,11.0,83.0,71.1,17.5,,,,,,,,12.2,63.4,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,ICM,23.0,59.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,MORI,24.0,60.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,Gallup,23.0,63.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,G9000,23.2,63.2,9.7,78.0,69.6,19.9,,25.0,58.0,,,,,8.3,66.8,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,ICM,30.0,52.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,MORI,30.0,56.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,MORI,24.0,56.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,Gallup,21.0,57.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,G9000,23.6,58.6,13.0,74.0,61.0,27.4,,24.0,,,,,79.0,8.2,60.1,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,ICM,29.0,50.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,NOP,28.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,MORI,26.0,55.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,G9000,24.6,56.6,13.8,,54.3,35.6,,,,,,,,8.4,58.6,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998.0,Jan,Gallup,26.0,56.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,ICM,30.0,48.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,MORI,28.0,54.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,Gallup,29.0,54.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,G9000,26.8,54.9,13.1,66.0,52.5,37.6,31.0,31.0,55.0,,,,,10.7,55.7,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,ICM,31.0,47.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,MORI,28.0,52.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,Gallup,29.0,51.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,G9000,28.1,54.4,12.9,62.0,52.4,38.5,32.0,31.0,50.0,,,,,11.4,55.1,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,ICM,33.0,46.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,MORI,28.0,53.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,Gallup,26.0,54.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,G9000,29.3,51.1,14.0,69.0,46.8,40.9,27.0,38.0,49.0,,,,,12.9,50.9,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,ICM,31.0,48.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,ICM,29.0,52.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,25.0,54.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,MORI,30.0,54.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,MORI,27.0,55.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,G9000,26.5,53.8,15.3,72.0,54.9,34.0,25.0,29.0,56.0,,,,,12.0,55.0,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,ICM,25.0,47.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,ICM,29.0,50.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,MORI,26.0,55.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,Gallup,28.0,54.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,G9000,25.9,55.2,13.8,70.0,61.2,29.0,26.0,33.0,52.0,,,,,10.5,59.5,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,ICM,29.0,51.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,MORI,28.0,51.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,MORI,27.0,56.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,Gallup,28.0,52.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,G9000,27.1,54.1,12.8,68.0,54.8,36.9,28.0,29.0,58.0,,,,,12.2,58.6,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,ICM,27.0,52.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,MORI,28.0,53.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,G9000,27.8,53.9,12.7,,55.0,36.9,,29.0,57.0,,,,,11.7,56.6,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Gallup,28.0,53.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,ICM,31.0,47.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,MORI,28.0,52.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Gallup,28.0,54.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,G9000,28.0,54.9,12.0,67.0,54.4,38.1,30.0,29.0,57.0,,,,,12.8,55.2,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,ICM,29.0,49.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,MORI,24.0,56.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,Gallup,23.0,57.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,G9000,28.0,54.1,12.6,68.0,53.3,35.8,27.0,28.0,55.0,,,,,12.4,55.0,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,ICM,29.0,51.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,MORI,26.0,53.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,Gallup,28.0,54.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,G9000,25.3,56.5,13.0,67.0,55.6,35.6,29.0,32.0,56.0,,,,,12.4,57.4,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,ICM,27.0,51.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,MORI,29.0,53.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,Gallup,29.0,55.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,G9000,27.2,54.3,13.1,65.0,54.7,36.2,30.0,33.0,54.0,,,,,12.7,57.4,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,ICM,29.0,49.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,NOP,27.0,55.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,MORI,27.0,54.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,ICM,30.0,50.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,G9000,27.1,55.5,12.3,66.0,53.2,36.0,29.0,33.0,56.0,,,,,12.9,55.7,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999.0,Jan,Gallup,29.0,52.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,NOP,24.0,48.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,NOP,25.0,57.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,MORI,24.0,56.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,Gallup,29.0,53.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan,G9000,27.8,53.7,13.1,65.0,51.8,39.0,30.0,31.0,56.0,,,,,13.4,54.5,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,ICM,28.0,49.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,MORI,30.0,51.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,Gallup,30.0,52.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,G9000,27.5,53.9,13.6,63.0,50.3,37.3,34.0,28.0,60.0,,,,,11.8,52.6,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,ICM,29.0,52.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,MORI,27.0,54.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,Gallup,27.0,54.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,G9000,28.5,53.3,12.8,67.0,50.3,37.1,28.0,32.0,56.0,,,,,12.7,51.1,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,ICM,28.0,50.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,29.0,52.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,MORI,25.0,56.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,NOP,28.0,55.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,MORI,30.0,50.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,G9000,26.1,55.4,12.9,66.0,56.5,35.7,31.0,32.0,58.0,,,,,12.9,56.4,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,ICM,28.0,51.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,ICM,28.0,51.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,MORI,25.0,52.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,MORI,28.0,52.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,Gallup,24.0,52.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,G9000,26.7,53.6,13.8,65.0,56.5,36.3,31.0,26.0,62.0,,,,,12.2,56.6,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,ICM,29.0,46.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,MORI,28.0,51.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,Gallup,27.0,51.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,G9000,26.7,50.2,15.2,62.0,51.6,37.2,32.0,32.0,54.0,,,,,11.1,52.4,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,ICM,31.0,48.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
